precio_promedio_usd,precio_minimo_usd,precio_maximo_usd,dias,variacion_usd_mensual,variacion_porcentual_usd,usd_alto,usd_alta_variabilidad,año,mes,es_enero,es_febrero,es_marzo,es_abril,es_mayo,es_junio,es_julio,es_agosto,es_septiembre,es_octubre,es_noviembre,es_diciembre,mes_vendimia,vacaciones_invierno,temporada_alta,pais_origen,punto_entrada,turistas
37.37,36.0,40.0,30,4.0,11.11,0,1,2018,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Buenos Aires,29382
63.0,63.0,63.0,30,0.0,0.0,0,0,2019,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Buenos Aires,15290
853.02,846.0,861.0,29,15.0,1.77,1,1,2024,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Paraguay,Aeropuerto Buenos Aires,2179
366.76,366.64,367.0,30,0.36,0.1,1,0,2023,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Chile,Paso Cristo Redentor,2508
135.16,131.0,138.0,31,7.0,5.34,1,1,2022,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Europa y Resto del Mundo,Puerto Buenos Aires,3163
279.26,270.0,288.0,31,18.0,6.67,1,1,2023,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Europa y Resto del Mundo,Aeropuerto Buenos Aires,5119
63.0,63.0,63.0,31,0.0,0.0,0,0,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Brasil,Aeropuerto Mendoza,2113
13.87,13.0,14.0,31,1.0,7.69,0,0,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa y Resto del Mundo,Aeropuerto Buenos Aires,18856
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Buenos Aires,31992
8.0,8.0,8.0,31,0.0,0.0,0,0,2014,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"EEUU, Canadá y México",Aeropuerto Córdoba,985
369.47,365.5,376.0,30,10.5,2.87,1,1,2023,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Paraguay,Aeropuerto Buenos Aires,3860
39.32,38.0,41.0,28,3.0,7.89,0,1,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Resto de América,Aeropuerto Buenos Aires,27718
149.9,146.0,154.0,30,8.0,5.48,1,1,2022,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Chile,Aeropuerto Buenos Aires,15653
61.23,60.0,65.0,31,5.0,8.33,0,1,2019,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bolivia,Aeropuerto Buenos Aires,5990
19.23,19.0,20.0,31,1.0,5.26,0,0,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bolivia,Aeropuerto Buenos Aires,7393
16.0,16.0,16.0,31,0.0,0.0,0,0,2017,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Brasil,Aeropuerto Buenos Aires,49424
8.0,8.0,8.0,30,0.0,0.0,0,0,2014,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chile,Aeropuerto Córdoba,1362
941.73,932.5,951.5,31,19.0,2.04,1,1,2024,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Resto de América,Aeropuerto Mendoza,2014
837.4,828.25,845.5,31,17.25,2.08,1,1,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa y Resto del Mundo,Paso Cristo Redentor,4436
37.37,36.0,40.0,30,4.0,11.11,0,1,2018,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Córdoba,1227
65.35,64.0,67.0,31,3.0,4.69,0,1,2020,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Chile,Paso Cristo Redentor,21573
38.42,38.0,39.0,31,1.0,2.63,0,0,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Uruguay,Puerto Buenos Aires,12357
20.77,20.0,21.0,31,1.0,5.0,0,0,2018,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Chile,Aeropuerto Córdoba,1260
45.97,45.0,46.0,31,1.0,2.22,0,0,2019,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Resto de América,Aeropuerto Córdoba,1307
15.0,15.0,15.0,31,0.0,0.0,0,0,2016,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Europa y Resto del Mundo,Aeropuerto Córdoba,629
904.79,896.0,914.0,31,18.0,2.01,1,1,2024,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Buenos Aires,18747
189.55,185.0,194.0,31,9.0,4.86,1,1,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Chile,Aeropuerto Mendoza,2804
16.0,16.0,16.0,31,0.0,0.0,0,0,2017,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Resto de América,Aeropuerto Córdoba,1195
15.1,15.0,16.0,31,1.0,6.67,0,0,2016,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Paraguay,Aeropuerto Buenos Aires,4980
43.77,43.0,45.0,31,2.0,4.65,0,0,2019,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Europa y Resto del Mundo,Paso Cristo Redentor,5112
1000.92,990.5,1011.5,31,21.0,2.12,1,1,2024,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chile,Paso Cristo Redentor,10488
42.19,40.0,45.0,31,5.0,12.5,0,1,2019,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Paraguay,Aeropuerto Buenos Aires,4488
15.26,15.0,16.0,31,1.0,6.67,0,0,2016,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Brasil,Aeropuerto Buenos Aires,25004
169.1,164.0,175.0,30,11.0,6.71,1,1,2022,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Resto de América,Aeropuerto Buenos Aires,33222
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Chile,Aeropuerto Córdoba,956
189.55,185.0,194.0,31,9.0,4.86,1,1,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Uruguay,Aeropuerto Buenos Aires,2486
118.63,117.0,121.0,30,4.0,3.42,1,1,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chile,Aeropuerto Córdoba,347
38.87,38.0,39.0,31,1.0,2.63,0,0,2018,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Paraguay,Aeropuerto Buenos Aires,5629
16.13,16.0,17.0,30,1.0,6.25,0,0,2017,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Chile,Aeropuerto Buenos Aires,15406
45.97,45.0,46.0,31,1.0,2.22,0,0,2019,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Uruguay,Aeropuerto Buenos Aires,6141
63.0,63.0,63.0,31,0.0,0.0,0,0,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bolivia,Aeropuerto Buenos Aires,7682
16.0,16.0,16.0,31,0.0,0.0,0,0,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Uruguay,Aeropuerto Buenos Aires,3120
260.53,251.0,270.0,30,19.0,7.57,1,1,2023,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brasil,Aeropuerto Mendoza,5167
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa y Resto del Mundo,Puerto Buenos Aires,2089
14.23,14.0,15.0,30,1.0,7.14,0,0,2016,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brasil,Aeropuerto Córdoba,560
9.0,9.0,9.0,30,0.0,0.0,0,0,2015,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Europa y Resto del Mundo,Puerto Buenos Aires,1259
9.0,9.0,9.0,31,0.0,0.0,0,0,2014,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"EEUU, Canadá y México",Aeropuerto Córdoba,747
45.97,45.0,46.0,31,1.0,2.22,0,0,2019,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Paraguay,Aeropuerto Buenos Aires,5085
91.42,90.0,93.0,31,3.0,3.33,1,1,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"EEUU, Canadá y México",Aeropuerto Buenos Aires,3603
189.55,185.0,194.0,31,9.0,4.86,1,1,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Chile,Aeropuerto Buenos Aires,19562
104.84,104.0,105.0,31,1.0,0.96,1,0,2021,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Paraguay,Aeropuerto Buenos Aires,296
105.77,105.0,106.0,30,1.0,0.95,1,0,2021,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Uruguay,Puerto Buenos Aires,5196
8.0,8.0,8.0,31,0.0,0.0,0,0,2014,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Brasil,Aeropuerto Buenos Aires,59969
17.7,17.0,18.0,30,1.0,5.88,0,0,2017,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brasil,Aeropuerto Córdoba,1348
105.77,105.0,106.0,30,1.0,0.95,1,0,2021,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Brasil,Aeropuerto Mendoza,509
15.0,15.0,15.0,31,0.0,0.0,0,0,2016,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Europa y Resto del Mundo,Aeropuerto Córdoba,629
15.87,15.0,16.0,30,1.0,6.67,0,0,2017,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chile,Aeropuerto Buenos Aires,16149
27.37,26.0,30.0,30,4.0,15.38,0,1,2018,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Europa y Resto del Mundo,Paso Cristo Redentor,4350
118.63,117.0,121.0,30,4.0,3.42,1,1,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Mendoza,523
336.77,289.0,367.0,31,78.0,26.99,1,1,2023,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Uruguay,Aeropuerto Buenos Aires,4068
655.78,376.5,828.25,31,451.75,119.99,1,1,2023,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Europa y Resto del Mundo,Aeropuerto Córdoba,1097
38.42,38.0,39.0,31,1.0,2.63,0,0,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa y Resto del Mundo,Aeropuerto Mendoza,1813
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Chile,Aeropuerto Buenos Aires,22486
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Chile,Aeropuerto Buenos Aires,18379
241.61,230.0,250.0,31,20.0,8.7,1,1,2023,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Uruguay,Aeropuerto Buenos Aires,3703
149.9,146.0,154.0,30,8.0,5.48,1,1,2022,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Resto de América,Aeropuerto Buenos Aires,22608
142.35,139.0,146.0,31,7.0,5.04,1,1,2022,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Brasil,Aeropuerto Buenos Aires,43615
1020.92,1013.0,1031.0,30,18.0,1.78,1,1,2024,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Europa y Resto del Mundo,Paso Cristo Redentor,4549
149.9,146.0,154.0,30,8.0,5.48,1,1,2022,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bolivia,Aeropuerto Buenos Aires,3451
210.23,205.0,216.0,31,11.0,5.37,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Mendoza,1550
869.55,861.5,876.0,31,14.5,1.68,1,1,2024,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Buenos Aires,11691
17.35,17.0,18.0,31,1.0,5.88,0,0,2017,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Chile,Aeropuerto Córdoba,1630
1020.92,1013.0,1031.0,30,18.0,1.78,1,1,2024,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Mendoza,1848
18.16,18.0,19.0,31,1.0,5.56,0,0,2017,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Resto de América,Aeropuerto Buenos Aires,45263
18.16,18.0,19.0,31,1.0,5.56,0,0,2017,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Paraguay,Aeropuerto Buenos Aires,6488
28.32,28.0,30.0,31,2.0,7.14,0,0,2018,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Paraguay,Aeropuerto Buenos Aires,6802
28.32,28.0,30.0,31,2.0,7.14,0,0,2018,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Resto de América,Aeropuerto Buenos Aires,26056
118.63,117.0,121.0,30,4.0,3.42,1,1,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Resto de América,Aeropuerto Mendoza,582
54.1,45.0,62.0,31,17.0,37.78,0,1,2019,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Chile,Aeropuerto Córdoba,1477
1077.76,1073.5,1084.25,28,10.75,1.0,1,1,2025,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Uruguay,Puerto Buenos Aires,13102
16.0,16.0,16.0,28,0.0,0.0,0,0,2017,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Puerto Buenos Aires,2281
981.27,972.0,990.0,30,18.0,1.85,1,1,2024,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Córdoba,1023
158.9,154.0,164.0,31,10.0,6.49,1,1,2022,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Mendoza,1004
43.77,43.0,45.0,31,2.0,4.65,0,0,2019,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Chile,Paso Cristo Redentor,12350
9.0,9.0,9.0,31,0.0,0.0,0,0,2014,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Resto de América,Aeropuerto Córdoba,820
114.77,113.0,116.0,31,3.0,2.65,1,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Brasil,Aeropuerto Buenos Aires,17375
922.38,914.0,930.5,30,16.5,1.81,1,1,2024,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Resto de América,Aeropuerto Córdoba,1300
1041.55,1031.0,1052.5,31,21.5,2.09,1,1,2024,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Bolivia,Aeropuerto Buenos Aires,3139
45.1,44.0,46.0,30,2.0,4.55,0,0,2019,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Córdoba,1029
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"EEUU, Canadá y México",Aeropuerto Buenos Aires,32799
114.77,113.0,116.0,31,3.0,2.65,1,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Mendoza,611
27.37,26.0,30.0,30,4.0,15.38,0,1,2018,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Córdoba,1037
158.9,154.0,164.0,31,10.0,6.49,1,1,2022,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Europa y Resto del Mundo,Puerto Buenos Aires,4170
1340.65,1310.0,1375.0,31,65.0,4.96,1,1,2025,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Uruguay,Aeropuerto Buenos Aires,3294
38.23,37.0,41.0,31,4.0,10.81,0,1,2018,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chile,Aeropuerto Córdoba,2380
8.0,8.0,8.0,30,0.0,0.0,0,0,2014,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Buenos Aires,19089
20.5,20.0,21.0,30,1.0,5.0,0,0,2018,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Resto de América,Aeropuerto Córdoba,1680
241.61,230.0,250.0,31,20.0,8.7,1,1,2023,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Buenos Aires,20074
837.4,828.25,845.5,31,17.25,2.08,1,1,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa y Resto del Mundo,Aeropuerto Buenos Aires,77002
15.26,15.0,16.0,31,1.0,6.67,0,0,2016,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Buenos Aires,55771
